id,first name,last name,country,birthday
5024,Basia,Lasley,Cuba,1985-06-22
5025,Joane,Garrison,Djibouti,2002-01-20
5026,Heida,Maryanne,Vanuatu,2001-06-21
5027,Mariele,Rocray,Azerbaijan,1990-08-03
5028,Clementine,Ardeha,Turkmenistan,2006-03-17
5029,Lynde,Croix,Liechtenstein,1959-10-11
5030,Adele,Francyne,Wallis and Futuna,1958-06-18
5031,Gwyneth,Percy,Armenia,1987-03-30
5032,Dominga,Zola,Timor-Leste,1999-04-09
5033,Marnia,Cynar,Chile,1960-04-20
5034,Talya,Hieronymus,Ireland,1953-01-12
5035,Siana,Han,Ecuador,2000-11-08
5036,Karly,Hachmin,Thailand,2008-02-13
5037,Neila,Sherrie,Uzbekistan,1952-07-23
5038,Tani,Baylor,Saint Kitts and Nevis,1998-05-26
5039,Leontine,Malina,Libyan Arab Jamahiriya,2008-08-21
5040,Ashlee,Carri,Sri Lanka,2007-01-24
5041,Arlina,Frendel,Faroe Islands,1998-03-22
5042,Stevana,Loring,Brunei Darussalam,1978-12-06
5043,Merle,Hutchison,Bangladesh,1982-09-20
5044,Konstance,Celestine,Hungary,1983-06-18
5045,Karly,Stacy,Oman,1961-03-17
5046,Nananne,Corabella,Tonga,1996-01-03
5047,Devina,Elsinore,Greece,1996-12-11
5048,Valera,Dearborn,"Macedonia, The Former Yugoslav Republic of",1995-04-20
5049,Nikki,Abbot,Gabon,1989-03-22
5050,Sibella,Kellby,Sierra Leone,1972-03-04
5051,Pollyanna,Jary,Guinea-Bissau,1953-07-20
5052,Marline,Neva,Cook Islands,1955-07-16
5053,Violet,Donoghue,Belarus,1995-04-26
5054,Trixi,Chandler,Japan,1970-07-15
5055,Cindelyn,Pearse,Grenada,2007-03-26
5056,Elbertina,Haldas,Sweden,1970-12-28
5057,Leanna,Jagir,Gambia,1987-07-21
5058,Lacie,Gerge,Ethiopia,1971-11-18
5059,Willetta,Vharat,"Tanzania, United Republic of",1958-11-25
5060,Kenna,Dorine,Czech Republic,1959-11-11
5061,Allis,Zaslow,Nigeria,1966-03-06
5062,Brietta,Fadiman,Cocos (Keeling) Islands,1954-10-12
5063,Danny,Truc,Philippines,1962-09-29
5064,Mahalia,Lynn,"Lao People""S Democratic Republic",1973-09-26
5065,Elka,Shirberg,Kyrgyzstan,1956-02-28
5066,Marnia,Lipson,Martinique,1978-04-19
5067,Cristine,Hylan,Saudi Arabia,1956-12-09
5068,Sara-Ann,Love,Nauru,2001-06-10
5069,Paulita,Valerio,Niue,1951-10-04
5070,Cordi,Mendez,Senegal,1956-01-27
5071,Tani,Jammal,American Samoa,1992-12-12
5072,Heida,Zamora,Myanmar,1955-12-19
5073,Althea,Rossner,Svalbard and Jan Mayen,1997-04-23
5074,Latisha,Ephrem,Argentina,1983-02-14
5075,Audrie,Han,Bulgaria,1993-05-28
5076,Oralee,Turne,Finland,1999-11-01
5077,Tersina,Lytton,Burkina Faso,1965-10-13
5078,Mariann,Amadas,Afghanistan,1996-05-22
5079,Candi,Lorenz,San Marino,1958-07-22
5080,Charlena,Rudolph,Romania,1954-11-22
5081,Peri,Boycey,French Southern Territories,1986-07-06
5082,Bee,Shirberg,"Macedonia, The Former Yugoslav Republic of",2001-02-21
5083,Mildrid,Desai,China,2001-09-05
5084,Averyl,Redmond,Gabon,2003-10-12
5085,Mureil,Sperling,Senegal,1993-08-23
5086,Ninnetta,Hillel,Ethiopia,1998-03-31
5087,Viviene,Genna,United States,1993-01-08
5088,Dyann,Peonir,Pitcairn,2009-06-22
5089,Carolina,Milde,Heard Island and Mcdonald Islands,1999-07-20
5090,Meriel,Jarib,Guyana,1994-07-08
5091,Louella,Mott,Switzerland,1981-02-28
5092,Ricky,Carbo,Belize,1971-10-13
5093,Sherrie,Raseda,Poland,1982-02-20
5094,Petronia,Wu,Guadeloupe,1968-08-29
5095,Max,Velick,Germany,1977-07-12
5096,Livvyy,Brotherson,Malaysia,1952-04-11
5097,Susette,Millda,Uruguay,1972-11-04
5098,Tani,Anestassia,Turkmenistan,2007-06-30
5099,Roz,Frodi,Wallis and Futuna,1999-02-18
5100,Nollie,Saint,Argentina,1979-02-16
5101,Valli,Baudin,"Taiwan, Province of China",1990-05-17
5102,Blinni,Lytton,Zimbabwe,1973-02-04
5103,Charissa,Kylander,Mali,1963-06-12
5104,Aili,Ambrosia,Georgia,1972-06-17
5105,Noelle,Milson,Germany,1966-05-16
5106,Joy,Gwenore,Åland Islands,1992-04-14
5107,Selia,Rolf,Bosnia and Herzegovina,1974-12-19
5108,Libbie,Quent,Liechtenstein,1966-08-27
5109,Ada,Lanita,Djibouti,1975-11-07
5110,Dawn,Cornelia,Turkmenistan,1989-07-29
5111,Clary,Kat,Cayman Islands,1970-09-07
5112,Rosanne,Standing,Georgia,1988-06-28
5113,Sheelagh,Newell,Palau,1995-10-11
5114,Katharina,Chobot,French Polynesia,2009-12-27
5115,Sandie,Gemini,Belgium,1983-08-14
5116,Chrystel,Adore,Lesotho,1990-11-22
5117,Chastity,Bivins,"Congo, The Democratic Republic of the",1975-01-20
5118,Bobbi,Joni,Greece,1950-08-05
5119,Laurene,Francene,Oman,1988-08-26
5120,Lizzie,Zola,Comoros,1966-10-25
5121,Petronia,Fennessy,Western Sahara,1982-02-07
5122,Lyssa,Noam,Pitcairn,1955-06-10
5123,Fidelia,Margret,Qatar,1985-11-05
5124,Robbi,Darian,Belgium,1963-05-19
5125,Judy,Bobbee,Puerto Rico,1974-09-07
5126,Donetta,Gilbertson,Iraq,1959-05-25
5127,Atlanta,Deny,Oman,1952-05-20
5128,Maisey,Alfons,Uzbekistan,1952-08-17
5129,Valeda,Yusuk,Croatia,1950-10-09
5130,Clo,Hollingsworth,Iceland,1963-01-14
5131,Janey,Brodench,Grenada,1972-12-15
5132,Henriette,Demitria,Saint Vincent and the Grenadines,1951-05-04
5133,Adelle,Raseda,Turkmenistan,1990-07-15
5134,Rori,Deegan,Cocos (Keeling) Islands,1959-06-30
5135,Allyce,Gladstone,Malaysia,1960-05-06
5136,Rubie,Janith,Bulgaria,1987-03-26
5137,Meghann,Prober,Puerto Rico,1961-08-05
5138,Aigneis,Rossner,"Taiwan, Province of China",2002-10-15
5139,Nessie,Eno,Yemen,1985-07-15
5140,Leeanne,Dawkins,Zambia,1959-01-28
5141,Yetty,Cavan,Kiribati,2008-03-17
5142,Kristan,Schlosser,Myanmar,1952-07-13
5143,Ilse,Pandolfi,Mali,1971-05-20
5144,Nyssa,Pattin,"Congo, The Democratic Republic of the",2003-09-08
5145,Gusty,Karna,Uruguay,1977-05-17
5146,Almeta,Bonucci,Slovenia,1999-05-04
5147,Kittie,Dermott,Norfolk Island,1975-12-12
5148,Heida,Schwejda,Norway,1997-05-11
5149,Kylynn,Ambrosia,Uzbekistan,1956-08-10
5150,Vere,Adlare,Germany,1970-05-01
5151,Sean,Radu,Saint Lucia,1987-09-01
5152,Maryellen,Desai,Anguilla,1985-12-23
5153,Mariele,Dalli,Bahrain,2001-02-18
5154,Dagmar,Armanda,Venezuela,2006-02-02
5155,Karolina,Neva,Ethiopia,1973-12-21
5156,Brooks,Tannie,Tajikistan,1952-08-11
5157,Peri,Ludewig,Azerbaijan,1999-11-18
5158,Annice,Maples,Lebanon,1988-05-17
5159,Zia,Sherfield,United Arab Emirates,1987-10-24
5160,Agnese,Pulsifer,Niger,1958-11-23
5161,Shauna,Shelba,Monaco,2006-02-20
5162,Wanda,Orelee,"Iran, Islamic Republic Of",1985-09-17
5163,Celestyna,Dex,Northern Mariana Islands,1994-06-02
5164,Jennica,Terencio,Macao,1950-10-25
5165,Olivette,Mendez,Malta,1960-09-20
5166,Justinn,Pozzy,RWANDA,1950-05-22
5167,Lucy,Harned,Comoros,1958-11-23
5168,Zia,Selway,Mozambique,1957-03-13
5169,Shannah,Bouchard,Angola,2000-01-30
5170,Aryn,Elo,Romania,2003-09-25
5171,Robbi,Eliathas,American Samoa,2006-04-05
5172,Cyndie,Wattenberg,Bulgaria,1988-06-07
5173,Annora,Howlyn,Bahrain,1979-11-25
5174,Mignon,Berl,Sierra Leone,1974-08-09
5175,Lory,Liva,Malta,1969-07-06
5176,Paule,Roche,Barbados,2002-04-18
5177,Augustine,Jess,Saint Helena,2009-03-24
5178,Farrah,Eno,Mexico,1994-07-31
5179,Leontine,Trinetta,Nigeria,1980-11-24
5180,Rosaline,Lenny,South Africa,1992-10-27
5181,Alexine,Gahl,Chad,1998-06-23
5182,Katleen,Merat,Grenada,1958-08-23
5183,Dania,Gualtiero,France,1998-12-23
5184,Corene,Linskey,Gambia,1989-11-03
5185,Damaris,Isacco,Pitcairn,1992-05-19
5186,Pollyanna,Othilia,Swaziland,1959-10-20
5187,Lizzie,Garlinda,Dominica,1989-07-16
5188,Candy,Charmine,Georgia,1992-02-18
5189,Dari,Evvie,Norfolk Island,1961-09-16
5190,Nessie,Kesley,Israel,2007-09-11
5191,Clementine,Cavan,"Moldova, Republic of",1983-11-27
5192,Margarette,Gusella,Puerto Rico,1991-12-31
5193,Elbertina,Berne,Trinidad and Tobago,1962-04-21
5194,Aryn,Kirbee,Kyrgyzstan,2002-07-23
5195,Kathy,Burkle,Lesotho,1964-05-31
5196,Joelly,Glovsky,Christmas Island,1976-01-31
5197,Cissiee,Bonucci,Seychelles,1984-08-24
5198,Linzy,Stilwell,Åland Islands,1988-10-30
5199,Mureil,Thar,Switzerland,1998-07-22
5200,Livvyy,Sawtelle,Solomon Islands,2007-05-08
5201,Wynne,Donell,"Korea, Republic of",1972-06-29
5202,Nerta,Pandolfi,Tunisia,1957-01-19
5203,Marylou,Hertzfeld,Guadeloupe,1976-09-05
5204,Janis,Gherardo,Philippines,1992-10-24
5205,Sharlene,Durante,Romania,1970-11-20
5206,Maryellen,Colleen,Guadeloupe,1971-07-06
5207,Winifred,Ilka,Antarctica,2003-12-06
5208,Ulrike,Mich,Nigeria,1979-04-07
5209,Roz,Haymes,Liechtenstein,1960-01-08
5210,Jsandye,Suk,Bermuda,2002-07-16
5211,Diena,Rocray,Nauru,1963-08-14
5212,Tybie,Elo,Liberia,1990-01-02
5213,Eadie,Denis,Poland,1989-10-12
5214,Hildegaard,Quinn,Mauritania,1967-06-21
5215,Hollie,Wesle,Azerbaijan,2007-09-08
5216,Ileana,Keelia,"Taiwan, Province of China",1991-04-05
5217,Clo,Johanna,Palau,2007-05-24
5218,Daphne,Saunderson,Ukraine,1965-04-04
5219,Cyb,Therine,Lithuania,1999-10-17
5220,Dulce,Nance,Bangladesh,1969-08-13
5221,Aaren,Jarib,Yemen,1991-10-24
5222,Leeanne,Yorick,Indonesia,1995-05-26
5223,Gilda,Sherfield,Hong Kong,1957-04-03
5224,Maridel,Stanwood,Denmark,1974-05-13
5225,Dacia,Ammann,Latvia,1950-02-10
5226,Shaylyn,Carri,Senegal,1963-09-28
5227,Cassondra,Casimir,Macao,1970-01-24
5228,Johna,Lauraine,Liberia,1969-04-25
5229,Gertrud,Monk,Antigua and Barbuda,1957-05-15
5230,Karlee,Graig,United Kingdom,1988-06-26
5231,Ronna,Aida,Monaco,1989-05-26
5232,Fawne,Noam,Austria,1957-05-24
5233,Myriam,Malvino,Sao Tome and Principe,1965-10-08
5234,Eve,Ranjiv,New Caledonia,1973-06-05
5235,Marline,Gordon,"Virgin Islands, U.S.",1957-12-22
5236,Wendi,Bethany,Bahamas,1977-02-12
5237,Thalia,Eben,Guinea,1977-07-22
5238,Gerrie,Masao,Sao Tome and Principe,1969-02-25
5239,Dianemarie,McClimans,Belarus,2007-12-18
5240,Kara-Lynn,Alisia,Guam,2003-01-19
5241,Lanna,Eno,Portugal,1983-10-11
5242,Caryl,Payson,Cuba,2008-07-15
5243,Lorie,Rodmann,Equatorial Guinea,1980-09-02
5244,Janis,Lipson,Mauritania,1957-05-14
5245,Cacilie,Jacobah,Cameroon,1970-11-27
5246,Kylynn,Sholley,American Samoa,1998-11-28
5247,Andeee,Erlandson,Åland Islands,1977-09-01
5248,Darci,Frendel,Peru,1987-04-18
5249,Sean,Cleavland,Zambia,1994-02-14
5250,Minda,Charmine,Viet Nam,1971-01-03
5251,Cordi,Keelia,Guyana,1961-02-02
5252,Celestyna,Mendez,Poland,2007-04-02
5253,Jordan,Kalinda,Faroe Islands,1991-01-08
5254,Aaren,Bari,Antarctica,1964-09-29
5255,Ezmeralda,MacIntosh,Barbados,1956-02-25
5256,Tonia,Kronfeld,Swaziland,2002-10-14
5257,Alejandra,Linehan,Guernsey,2001-11-24
5258,Jillayne,Denis,Kiribati,1951-09-19
5259,Inga,Toor,New Zealand,1967-01-13
5260,Mamie,Bertold,Antarctica,1989-02-03
5261,Nadine,Meli,Jersey,1971-08-24
5262,Melanie,Prouty,Indonesia,1998-05-18
5263,Carilyn,Alrich,Tuvalu,1992-08-25
5264,Linzy,Haerr,Slovenia,1961-06-01
5265,Dede,Estella,Antarctica,1986-09-01
5266,Charissa,Grimbly,Anguilla,1954-10-05
5267,Jaime,Catie,Solomon Islands,1957-09-27
5268,Shaylyn,Charmine,Sierra Leone,1997-03-12
5269,Tamqrah,Ambrosia,Afghanistan,1964-06-11
5270,Arlena,Dreda,Bouvet Island,2009-04-15
5271,Gusella,Natalia,France,1970-03-19
5272,Randa,Nelsen,Tunisia,2009-10-02
5273,Christian,Ciro,Kenya,1992-08-17
5274,Lindie,Khorma,"Moldova, Republic of",1990-09-30
5275,Ernesta,Kinnard,Japan,2008-12-08
5276,Laure,Odell,Slovenia,2004-07-08
5277,Livvyy,Phi,Israel,1972-12-09
5278,Lauryn,Persse,Western Sahara,2007-11-14
5279,Blake,Mathilde,Jordan,2000-12-15
5280,Corly,Cavan,Mali,1958-11-01
5281,Annabela,Kannry,France,2005-01-10
5282,Margette,Cloris,Chad,1961-04-20
5283,Jennica,Brunell,Gabon,1962-10-19
5284,Merci,Devlen,Colombia,1990-09-21
5285,Laurene,Ulphia,Mauritania,1981-05-10
5286,Nanete,Maxi,Suriname,1993-12-05
5287,Albertina,Estella,Saint Helena,1956-09-15
5288,Nonnah,Zamora,Malawi,2007-07-20
5289,Gusella,Aurelio,United Kingdom,1969-02-26
5290,Cristine,Levey,Spain,1983-11-27
5291,Chrystel,Iphlgenia,Botswana,1982-01-27
5292,Willetta,Korey,Iceland,1996-12-10
5293,Ginnie,Irmine,Philippines,1972-07-12
5294,Paola,Arquit,Gabon,1988-03-10
5295,Trudie,Juliet,Åland Islands,1952-04-05
5296,Fidelia,Gilbertson,Timor-Leste,1988-04-21
5297,Hannis,Sandye,Canada,2003-03-03
5298,Nyssa,Mathilde,Tokelau,1968-05-22
5299,Imojean,Gaulin,Gabon,1956-07-12
5300,Kathi,Helve,Guadeloupe,1963-12-04
5301,Mahalia,Philipp,Central African Republic,1958-09-18
5302,Selma,Sprage,Kiribati,1992-12-25
5303,Susan,Kazimir,Portugal,1967-02-16
5304,Alleen,Nerita,Seychelles,1954-01-12
5305,Joleen,Burnside,Montserrat,1980-09-09
5306,Devina,Latini,Mali,1988-09-04
5307,Jobi,Salvidor,San Marino,1954-09-25
5308,Florencia,Demitria,"Lao People""S Democratic Republic",1962-10-04
5309,Tarra,Leary,Western Sahara,1956-09-17
5310,Althea,Anestassia,Tunisia,1992-08-05
5311,Adriana,Alfons,Kuwait,1982-11-22
5312,Lorenza,Shama,Western Sahara,2008-06-30
5313,Veda,Kare,Ethiopia,1963-06-19
5314,Edyth,Yate,Chile,1992-04-13
5315,Alyssa,Lorain,Tuvalu,1985-10-31
5316,Gisela,Fredi,Kiribati,2000-09-13
5317,Hermione,Ulphia,Christmas Island,1975-03-16
5318,Carmencita,Croix,Indonesia,1967-08-31
5319,Nananne,Deny,Turkmenistan,1999-08-11
5320,Leanna,Timon,Dominica,1975-02-13
5321,Jany,Elsinore,Azerbaijan,1959-04-09
5322,Candi,Yate,France,1993-05-09
5323,Lizzie,Pond,Marshall Islands,2001-12-17
5324,Lisette,Maryanne,Svalbard and Jan Mayen,1977-04-22
5325,Gretal,Mata,Guatemala,1956-02-10
5326,Odessa,Olympium,Uzbekistan,1955-08-13
5327,Fina,Kussell,Tajikistan,1989-09-28
5328,Sharai,Rodmann,Cameroon,1989-01-20
5329,Cindelyn,Frendel,Qatar,1969-10-04
5330,Dawn,Henebry,Fiji,1954-10-25
5331,Fayre,Atcliffe,Namibia,1985-05-31
5332,Valli,Minetta,Greece,1981-02-08
5333,Heddie,Federica,Turkey,1982-03-03
5334,Morganica,Gunn,Nepal,1972-06-19
5335,Lesly,Kendrick,Peru,2004-05-05
5336,Vonny,Hillel,"Moldova, Republic of",1987-01-10
5337,Winifred,Gherardo,Dominica,1980-01-13
5338,Bobbi,Dawkins,Central African Republic,2008-07-26
5339,Charlena,Tybald,Georgia,2005-10-15
5340,Konstance,Alcott,Seychelles,2009-01-27
5341,Nikki,Bivins,Congo,1968-03-07
5342,Alejandra,Krystle,Senegal,1959-10-29
5343,Rosabelle,Gamaliel,San Marino,1955-02-10
5344,Tierney,Granoff,Dominica,1993-10-09
5345,Eadie,Gregrory,Reunion,1962-04-17
5346,Nickie,Berl,Niue,1982-12-10
5347,Adore,Cloris,"Congo, The Democratic Republic of the",1987-09-05
5348,Janenna,Creamer,Cambodia,2000-11-08
5349,Halette,Raseda,Syrian Arab Republic,1986-09-26
5350,Estell,Pip,Palau,1988-07-12
5351,Mureil,Carri,Nepal,1972-10-20
5352,Chickie,Cimbura,Honduras,1964-09-18
5353,Ethel,Anestassia,Namibia,1953-12-01
5354,Arabel,Lucienne,Liberia,1955-08-20
5355,Stevana,Bouchard,Mexico,1972-02-09
5356,Hyacinthe,Helve,Algeria,1965-09-17
5357,Kirbee,Nadia,Papua New Guinea,1961-02-12
5358,Adore,Kermit,"Virgin Islands, U.S.",1976-10-14
5359,Patricia,Ioab,Guyana,1957-04-11
5360,Charlena,Kolnick,Palau,1973-05-28
5361,Laure,Frendel,Ukraine,1983-11-16
5362,Nollie,Adalbert,Norway,1986-12-05
5363,Florencia,Clara,Western Sahara,1977-01-08
5364,Ericka,Thunell,Seychelles,1955-09-07
5365,Evaleen,Korey,Ethiopia,1987-02-19
5366,Pollyanna,Sheedy,AndorrA,1976-10-15
5367,Hope,Raffo,Germany,2009-07-31
5368,Isa,Turne,Afghanistan,2001-10-20
5369,Flo,Rhu,Thailand,1993-01-30
5370,Chere,Kellby,Antigua and Barbuda,1986-03-17
5371,Coral,Marlie,Tuvalu,1998-07-18
5372,Pearline,Orelee,Armenia,1984-12-10
5373,Audrie,Horan,Maldives,1995-08-27
5374,Frieda,Raul,Tokelau,2009-12-27
5375,Neila,Adamsen,Zambia,1997-12-17
5376,Sindee,Hazlett,Turkey,1950-04-08
5377,Max,Toor,AndorrA,1987-06-13
5378,Elvira,Sprage,Albania,1959-12-20
5379,Konstance,Schroth,"Moldova, Republic of",1999-06-25
5380,Alejandra,Percy,Hong Kong,1959-01-07
5381,Joleen,Ax,Lithuania,1978-02-09
5382,Helena,Amadas,Indonesia,1951-01-14
5383,Elyssa,Kimmie,Ethiopia,2001-05-17
5384,Wendi,Tengdin,Estonia,1978-05-07
5385,Susette,Tengdin,Russian Federation,1964-03-15
5386,Ilse,McCutcheon,Jordan,1989-10-26
5387,Dorothy,Estella,Jersey,1974-06-07
5388,Edee,Emanuel,Nicaragua,2000-01-21
5389,Helsa,Cornelia,Yemen,1993-06-21
5390,June,Edmund,Namibia,1975-10-12
5391,Barbara,Martguerita,Guernsey,1976-09-22
5392,Beth,O'Carroll,Oman,1989-07-21
5393,Larine,Helve,Netherlands,1976-07-21
5394,Jobi,Nadia,Belize,1992-08-07
5395,Hildegaard,Belldas,Wallis and Futuna,1980-08-16
5396,Emmey,Ailyn,Guam,1961-12-27
5397,Ann-Marie,Alisia,Singapore,1953-03-13
5398,Libbie,Oneida,Madagascar,1966-09-26
5399,Alie,Maxi,French Southern Territories,2006-06-28
5400,Carly,Ilka,Greece,1971-12-04
5401,Brandise,Minetta,Seychelles,2005-07-03
5402,Jessamyn,Glenden,"Virgin Islands, U.S.",2002-06-26
5403,Penelopa,Riva,Suriname,1991-06-30
5404,Julieta,Harriman,Cuba,1985-06-18
5405,Rosene,Kussell,Montserrat,1973-04-05
5406,Gianina,Yuille,"Cote D""Ivoire",1981-06-06
5407,Moyna,Pascia,Guam,1970-03-24
5408,Livvyy,Hanshaw,Pakistan,1955-08-25
5409,Kristan,Deegan,Ethiopia,1965-12-25
5410,Willetta,Bury,Ukraine,1958-06-09
5411,Frances,Ciapas,Western Sahara,1991-11-14
5412,Ira,Jary,Wallis and Futuna,2004-02-14
5413,Kara-Lynn,Modie,"Tanzania, United Republic of",2004-06-03
5414,Ada,Harned,Portugal,1961-11-03
5415,Norine,Taima,Guinea-Bissau,1952-07-21
5416,Annecorinne,Garrison,Lebanon,1989-05-30
5417,Wilma,Morehouse,Tajikistan,1984-10-31
5418,Ardenia,Hailee,South Africa,1997-12-13
5419,Renae,Sidonius,Bouvet Island,1952-05-27
5420,Consuela,Primalia,Pitcairn,1969-10-11
5421,Tori,Ochs,Macao,1965-02-03
5422,Fanny,Pacorro,Serbia and Montenegro,1955-01-07
5423,Desirae,Vorster,Israel,2006-01-08
5424,Jennica,Ioab,Tajikistan,1952-10-01
5425,Tarra,Agle,Italy,1991-05-27
5426,Kimberley,Dash,Liberia,1966-02-01
5427,Ilse,Susannah,Solomon Islands,1984-04-09
5428,Deane,Granoff,Algeria,1986-12-12
5429,Heddie,Sharl,Kuwait,1951-12-03
5430,Halette,Kat,Latvia,1971-08-03
5431,Adelle,Blake,Isle of Man,1980-05-20
5432,Tori,Jobi,Uruguay,1967-07-26
5433,Aaren,Goldina,Namibia,1973-07-14
5434,Jemie,Dimitris,"Macedonia, The Former Yugoslav Republic of",1987-07-15
5435,Rubie,Dunkin,Kazakhstan,1966-09-11
5436,Jemie,Zamora,Ireland,2009-04-01
5437,Romona,Lia,Chad,1965-11-23
5438,Lory,Jefferey,Italy,2007-05-29
5439,Celisse,Payson,Åland Islands,1993-04-12
5440,Randa,Wenoa,"Macedonia, The Former Yugoslav Republic of",1997-08-07
5441,Rosabelle,Campball,Uzbekistan,1951-01-09
5442,Andeee,Gilmour,Sweden,1973-06-17
5443,Valeda,Seligman,Zambia,1962-08-07
5444,Orelia,Hirsch,Åland Islands,1999-01-23
5445,Jere,Ricarda,United States,1972-03-25
5446,Myrtice,Argus,Turkmenistan,1951-05-30
5447,Verla,Emerson,Montserrat,2003-12-20
5448,Rosene,Milson,Dominican Republic,1958-06-08
5449,Agathe,Maribeth,Central African Republic,2001-06-16
5450,Debee,Ajay,Heard Island and Mcdonald Islands,1970-01-11
5451,Marita,Anastatius,Mozambique,2004-08-05
5452,Valeda,Anton,Spain,2006-05-21
5453,Bertine,Telfer,Åland Islands,2003-11-12
5454,Nessie,Goddard,Bolivia,1983-05-23
5455,Livvyy,Mitzi,Dominican Republic,1957-02-06
5456,Bernardine,Chem,"Korea, Democratic People""S Republic of",1954-03-14
5457,Madeleine,Gillan,Finland,1977-06-04
5458,Neila,Hanleigh,Venezuela,1959-06-09
5459,Deedee,Stevy,Latvia,2009-03-21
5460,Allyce,Celestine,Bolivia,1995-04-28
5461,Talya,Obed,American Samoa,1956-07-18
5462,Ingrid,Schonfeld,Myanmar,1961-02-14
5463,Alyda,Loeb,India,1990-07-22
5464,Ekaterina,Isidore,Belize,1998-11-27
5465,Annora,Meter,Algeria,1971-11-08
5466,Dyann,Sheng,Colombia,1999-11-01
5467,Alie,Bari,Ethiopia,1964-05-29
5468,Linzy,Fennessy,Mexico,1980-09-19
5469,Stephanie,Schalles,Czech Republic,1956-07-03
5470,Kary,Rad,Antigua and Barbuda,1967-05-27
5471,Bernardine,Kannry,China,1997-12-31
5472,Kristan,Uird,Jamaica,1957-04-01
5473,Bill,Knowling,Mali,1982-01-25
5474,Maye,Braun,Venezuela,1971-01-05
5475,Janeczka,Valerio,Mauritania,2003-04-09
5476,Consuela,Kaete,Jordan,1975-04-13
5477,Danika,Erminia,Bahrain,1981-08-24
5478,Oralee,Kolnick,Turkey,2007-10-12
5479,Ardys,Zina,"Lao People""S Democratic Republic",1965-06-05
5480,Norine,Garrison,Jersey,1955-12-19
5481,Isa,Joeann,Myanmar,1985-06-26
5482,Chickie,Kamaria,Mayotte,2002-08-19
5483,Cam,Nea,Papua New Guinea,1955-09-02
5484,Jenilee,Zeeba,Malaysia,2004-03-06
5485,Corene,Oneida,Vanuatu,1997-08-31
5486,Bill,Fiester,Mali,2000-10-29
5487,Susette,Bord,Paraguay,1952-03-25
5488,Calla,Septima,Bolivia,1967-04-03
5489,Emilia,Freddi,Portugal,1986-11-18
5490,Johna,Tamsky,Liechtenstein,2002-08-04
5491,Jeanna,Erich,Tunisia,1997-02-02
5492,Dania,Yuille,Jordan,2005-03-01
5493,Adriana,Zola,Tuvalu,2004-06-12
5494,Mildrid,Louanna,Seychelles,1951-09-17
5495,Karly,Woodberry,Martinique,1965-05-09
5496,Iseabal,Bohlin,Papua New Guinea,1995-10-31
5497,Shell,Germann,Papua New Guinea,1966-05-19
5498,Aili,Delacourt,Bulgaria,1972-03-14
5499,Leontine,Gino,Mauritius,1981-05-09
5500,Britte,Nahum,Bouvet Island,1969-08-15
5501,Consuela,Auberbach,Somalia,1992-11-18
5502,Tersina,Berl,"Tanzania, United Republic of",2001-02-02
5503,Estell,Cohdwell,Zambia,1981-11-26
5504,Judy,Jethro,Greenland,1973-06-16
5505,Shauna,Israeli,Morocco,1973-05-29
5506,Emelina,Gregrory,Liechtenstein,1965-06-19
5507,Cristabel,Johanna,Swaziland,1967-12-01
5508,Coral,Knowling,"Macedonia, The Former Yugoslav Republic of",1958-07-05
5509,Latisha,Stoller,Timor-Leste,1962-01-27
5510,Roslyn,LaRue,Fiji,1975-08-28
5511,Trudie,Koehler,Central African Republic,1987-04-09
5512,Eugine,Ciapas,Ukraine,2004-08-27
5513,Brynna,Merna,Timor-Leste,1990-02-03
5514,Tilly,Fitzsimmons,Bahrain,1953-02-20
5515,Mignon,Arathorn,El Salvador,1966-07-02
5516,Nyssa,Ade,Togo,1988-02-22
5517,Courtnay,Amand,Poland,1988-03-01
5518,Daphne,Felizio,India,2001-06-01
5519,Fernande,Kravits,Puerto Rico,1969-08-05
5520,Ruthe,Ortrude,Qatar,1979-05-27
5521,Shandie,Buttaro,Nigeria,1978-07-23
5522,Kathi,Yam,Russian Federation,1983-05-26
5523,Hope,Even,Pakistan,1992-02-08
5524,Claresta,Skurnik,Nauru,1959-08-12
5525,Glenda,Parette,Armenia,1977-04-07
5526,Madelle,Hoban,Bouvet Island,1980-05-16
5527,Michaelina,Suk,Burkina Faso,1956-03-24
5528,Yetty,Friede,Somalia,1960-03-17
5529,Joane,Brittani,Kuwait,1960-01-07
5530,Claresta,Kenwood,Heard Island and Mcdonald Islands,2002-06-17
5531,Modestia,Vorster,Cameroon,1972-01-04
5532,Sharlene,Heisel,French Polynesia,2007-04-14
5533,Aryn,Wooster,Germany,1951-09-24
5534,Iseabal,Rooney,Estonia,1950-04-28
5535,Carol-Jean,Sammons,Vanuatu,2003-09-21
5536,Joceline,Jerold,Åland Islands,2005-09-26
5537,Olivette,Aloise,Bermuda,1961-10-30
5538,Kary,Merat,Pakistan,1997-06-22
5539,Josephine,Marden,Saint Helena,1963-05-07
5540,Ginnie,Quent,Ethiopia,1966-03-30
5541,Collen,Arley,Spain,1986-03-16
5542,Edee,Pascia,"Macedonia, The Former Yugoslav Republic of",1972-04-11
5543,Meg,Lane,Tuvalu,1984-07-17
5544,Carree,Presber,Puerto Rico,1977-12-09
5545,Dawn,Marcellus,Switzerland,2007-12-04
5546,Albertina,Vharat,Saint Vincent and the Grenadines,1958-06-13
5547,Romona,Kinnard,Latvia,1976-11-06
